on x=-17..30,y=-5..41,z=-33..14
on x=-5..46,y=-44..8,z=-6..38
on x=-34..16,y=-30..18,z=-25..24
on x=-21..30,y=-49..1,z=-10..34
on x=-24..29,y=-33..16,z=3..48
on x=-31..14,y=2..46,z=-5..39
on x=-12..42,y=-22..26,z=-48..-4
on x=-23..30,y=-34..16,z=-32..14
on x=-6..47,y=-48..1,z=2..47
on x=-3..47,y=-35..15,z=-42..5
off x=-42..-23,y=9..20,z=-23..-4
on x=-7..47,y=-47..5,z=-40..8
off x=1..12,y=-21..-8,z=10..29
on x=-35..10,y=-26..26,z=-6..39
off x=-37..-23,y=-45..-32,z=-30..-17
on x=-19..31,y=-15..29,z=-40..8
off x=-19..-7,y=-10..7,z=-16..0
on x=-2..49,y=-4..42,z=-22..27
off x=-24..-7,y=-9..0,z=27..38
on x=-26..24,y=-4..48,z=-12..32
on x=-46681..-40413,y=-9080..3286,z=-72808..-54525
on x=68547..89090,y=-28835..784,z=-13715..20077
on x=15416..38317,y=58026..76622,z=31356..34396
on x=-74311..-54246,y=-69628..-40272,z=1209..26460
on x=55743..69730,y=21226..31516,z=28850..57609
on x=-37702..-28153,y=71282..79833,z=1348..25186
on x=-29419..-9215,y=-30406..-7944,z=68978..80651
on x=-84228..-54663,y=-33784..-2485,z=13550..37271
on x=41888..71582,y=21291..45900,z=35942..55794
on x=39976..45372,y=-56139..-36769,z=-48134..-43449
on x=57627..81066,y=-52989..-38749,z=-2968..96
on x=4586..27804,y=23780..27561,z=-81571..-66678
on x=40885..59300,y=975..25497,z=-76241..-60992
on x=-22282..6115,y=12690..20408,z=59193..94240
on x=-60871..-41450,y=24624..49965,z=-54346..-42202
on x=-22510..-16414,y=39400..52220,z=-74098..-59151
on x=-56783..-37407,y=-21605..3890,z=56832..84852
on x=-42772..-20003,y=38091..51084,z=-70247..-44524
on x=-59152..-40469,y=42178..59176,z=-34106..-1120
on x=-48361..-33806,y=-38124..-7522,z=45310..68507
on x=-80189..-75760,y=-24608..4780,z=-1481..14628
on x=-93234..-58715,y=23710..43365,z=-18050..3342
on x=-32567..-13325,y=48559..83121,z=-44942..-31229
on x=-17025..11790,y=-80480..-52172,z=-48060..-35617
on x=-292..21474,y=-16348..13359,z=-79745..-68552
on x=14814..47644,y=-59846..-31946,z=40318..54294
on x=-15282..11500,y=10976..29928,z=58723..93446
on x=-33560..-16971,y=-33052..-13390,z=-82596..-64519
on x=6428..14446,y=-37477..-15167,z=62802..85680
on x=-60199..-28538,y=-9091..-3693,z=-71268..-47393
on x=-43413..-31516,y=51403..82935,z=-42597..-9220
on x=62468..70741,y=1464..16853,z=32840..60215
on x=-23594..1355,y=59275..80825,z=-43020..-26289
on x=30257..44311,y=-14991..3616,z=71829..83098
on x=-28852..-25504,y=69239..85982,z=10172..40591
on x=25621..50230,y=-69677..-61680,z=15847..43088
on x=43038..48350,y=-29552..-7392,z=-63224..-57240
on x=-33961..-16600,y=-18401..7835,z=74823..90337
on x=-57986..-39112,y=-12535..5434,z=63456..85725
on x=34819..50798,y=-60535..-33867,z=-49388..-38031
on x=-82252..-59431,y=1706..27983,z=-7967..10101
on x=-48395..-27227,y=-61005..-29613,z=51424..56606
on x=-26825..5684,y=-36665..-6013,z=56268..92999
on x=-61515..-49119,y=27795..51258,z=31688..58052
on x=-68731..-37250,y=-60712..-24600,z=-47256..-31661
on x=30872..46904,y=-83793..-48610,z=10528..46327
on x=29368..47640,y=53263..63386,z=-49686..-16004
on x=-45030..-18602,y=10323..19080,z=60474..78730
on x=63030..72641,y=-56150..-23995,z=13888..24492
on x=41586..55832,y=-59122..-48432,z=-29261..-10531
on x=64526..74991,y=-33640..488,z=17347..46223
on x=11965..39454,y=-44999..-27016,z=-74175..-57861
on x=4906..35879,y=57400..73930,z=-28597..-14765
on x=-24814..-22232,y=49676..66386,z=-45856..-29188
on x=-19713..1702,y=69624..72745,z=31084..34121
on x=-2737..24561,y=37712..46889,z=-82233..-64488
on x=-10972..-6727,y=22208..44194,z=-81317..-63269
on x=-44549..-28376,y=48988..62443,z=27328..58197
on x=70230..85876,y=-8897..3783,z=15991..30134
on x=-35183..-17393,y=-24316..5358,z=-76133..-65289
on x=43692..59914,y=50663..57587,z=14020..29449
on x=66117..81208,y=-26623..-9596,z=-38646..-2281
on x=12372..32472,y=70370..75354,z=-38899..-3580
on x=-73093..-52906,y=-20035..-4952,z=20473..37776
on x=-83016..-58048,y=41071..55655,z=-10830..-1641
on x=54392..75728,y=9606..25160,z=-39759..-13391
on x=11395..23571,y=66568..79376,z=-49980..-34157
on x=33551..59887,y=-71194..-54586,z=-14366..19841
on x=-64745..-47367,y=28321..47564,z=28549..47994
on x=-50269..-31531,y=5389..30487,z=47655..73673
on x=-61420..-38005,y=21294..42180,z=-62636..-36804
on x=56982..88280,y=-31289..-10422,z=-33518..-18440
on x=-67822..-53610,y=-332..16358,z=49083..72725
on x=53486..67258,y=28578..55202,z=1489..17316
on x=-27154..-6139,y=16370..38155,z=59979..87298
on x=29556..47462,y=-5328..13605,z=-70221..-60884
on x=-80730..-58616,y=-47403..-26788,z=11556..22175
on x=-37676..-19198,y=54010..76841,z=-32286..-8799
on x=723..25609,y=-41047..-33491,z=-85198..-57964
on x=11324..43903,y=38357..44549,z=45656..68038
on x=-73392..-61171,y=-47503..-22853,z=32033..41060
on x=32192..47377,y=-59191..-43322,z=-38329..-32386
on x=-7063..15373,y=-95415..-58923,z=-27718..-11733
on x=19010..53002,y=-31425..-18900,z=54306..68496
on x=-21804..3055,y=-33535..-23883,z=-75223..-64733
on x=8487..30954,y=-8463..16833,z=-91483..-72227
on x=48781..68173,y=45667..62415,z=-24037..5471
on x=57024..89038,y=-15828..7657,z=-52849..-36299
on x=-45937..-23721,y=41019..57147,z=45727..72041
on x=-16780..-13200,y=75394..82415,z=-8799..10722
on x=53535..81196,y=6918..29718,z=37236..53772
on x=-55480..-36078,y=7883..39200,z=-69732..-39121
on x=-45099..-18793,y=-73404..-50311,z=-33300..-14252
on x=8268..23705,y=-33164..-1753,z=-82302..-71031
on x=-71062..-41044,y=26084..56324,z=36824..65303
on x=-14626..19931,y=-18069..-1297,z=-98273..-75127
on x=52672..77486,y=-8353..3128,z=31017..58309
on x=-38299..-17328,y=-34403..-30262,z=55976..81923
on x=48851..69990,y=-41346..-17137,z=-58452..-23069
on x=-25984..-8950,y=-63098..-42143,z=-67864..-46300
on x=32505..55446,y=-654..12442,z=-80820..-54772
on x=42077..63701,y=-29541..-5181,z=47435..57472
on x=21470..46933,y=43518..47310,z=46936..71632
on x=46415..59440,y=-64128..-55454,z=-1180..7929
on x=-19625..2679,y=6237..12025,z=76066..96188
on x=-7717..4716,y=37069..63934,z=-71146..-50245
on x=17802..49986,y=-70621..-68797,z=-23694..-18958
on x=57182..71568,y=20866..41685,z=22722..41041
on x=-95887..-69433,y=-21559..-8464,z=-11037..1336
on x=35156..53597,y=13733..35517,z=52618..66470
on x=8716..15312,y=63738..84306,z=4882..17229
on x=-41125..-12889,y=-1553..17190,z=59211..83880
on x=4515..17772,y=-58193..-47886,z=-74257..-48347
on x=-17895..-4493,y=-66780..-50472,z=35266..51793
on x=-7000..10551,y=-69085..-46484,z=60209..65566
on x=-80167..-61254,y=-27072..-9392,z=32229..50802
on x=-71717..-58244,y=41677..56761,z=4649..25687
on x=-33144..-13835,y=69428..85920,z=4409..18317
on x=-65763..-42394,y=-11887..4792,z=48571..66507
on x=-23921..-3131,y=-61567..-49913,z=-58462..-41577
on x=-4174..12732,y=69759..94065,z=5044..30393
on x=-10879..17647,y=75789..85412,z=14259..16003
on x=-10806..1867,y=57144..76856,z=-63076..-41426
on x=-27916..-3966,y=-75470..-47243,z=33607..47540
on x=-51084..-26523,y=-34299..-18228,z=67969..87227
on x=26072..33298,y=-78509..-51855,z=-60953..-31729
on x=-41892..-19325,y=14991..49093,z=60743..70348
on x=40052..70772,y=-35084..-20538,z=45411..56779
on x=-12426..-4468,y=-82030..-65198,z=-41056..-26256
on x=-38350..-18390,y=74956..81056,z=-25153..-13131
on x=-2824..11416,y=-34416..-13819,z=-91842..-66733
on x=-18276..6093,y=54070..86391,z=-47849..-20503
on x=-76193..-61731,y=18273..33046,z=20596..49749
on x=-46972..-9471,y=-8825..7791,z=60670..92810
on x=-75417..-51499,y=-22357..-16428,z=29120..44525
on x=33976..43143,y=31814..57221,z=-52113..-46693
on x=-66353..-45784,y=28933..46864,z=-13752..-1122
on x=-34207..-29077,y=5783..28099,z=66399..76485
on x=50913..62946,y=-388..26351,z=41558..69483
on x=-69601..-47303,y=-47249..-31537,z=30012..51185
on x=-81663..-70867,y=248..18507,z=5482..35089
on x=-14569..17453,y=25592..52278,z=60562..83625
on x=-92692..-65141,y=-17940..-8648,z=22060..34782
on x=57704..75838,y=26801..57720,z=16228..26676
on x=61981..85438,y=-25203..-24281,z=-31488..-15691
on x=-65141..-40016,y=52730..70670,z=5257..20652
on x=43049..73758,y=-21393..1405,z=53642..60863
on x=68395..91273,y=-1587..21127,z=-33847..-19622
on x=-87437..-63433,y=-7663..11088,z=-16191..-8808
on x=-84560..-63275,y=-25343..-10985,z=-9773..5883
on x=-27007..-16002,y=-91654..-60948,z=-21250..5398
on x=65183..87442,y=24495..38842,z=14928..19736
on x=-50279..-46300,y=42027..75345,z=-45463..-19376
on x=-95684..-72138,y=-30692..-20109,z=-4837..19812
on x=-56097..-33775,y=-70346..-34847,z=27745..46108
on x=-56999..-36916,y=31687..51490,z=11292..40930
on x=64252..91189,y=-18731..1437,z=-33236..-15050
on x=-15927..2349,y=-83111..-59220,z=-50016..-18040
on x=42927..58707,y=48865..68846,z=14419..33822
